No formal educational credential,High school diploma,Some college or postsecondary nondegree,Associate's degree,Bachelor's degree,Master's or doctoral degree,risk
31,59,28,58,68,100,AI EXPOSURE
38,18,14,58,87,78,AI EXPOSURE
64,98,14,42,42,79,AI EXPOSURE
1,55,14,81,52,17,AI EXPOSURE
2,55,14,81,68,63,AI EXPOSURE
7,59,35,91,80,1,AI EXPOSURE
3,34,35,58,82,1,AI EXPOSURE
52,18,26,25,87,1,AI EXPOSURE
7,29,7,58,43,1,AI EXPOSURE
7,83,45,81,54,100,AI EXPOSURE
7,28,54,81,23,87,AI EXPOSURE
3,18,14,25,42,85,AI EXPOSURE
7,33,35,58,44,1,AI EXPOSURE
7,26,23,44,68,1,AI EXPOSURE
7,26,14,25,77,93,AI EXPOSURE
21,59,35,44,68,1,AI EXPOSURE
49,25,43,26,78,63,AI EXPOSURE
57,83,7,46,87,78,AI EXPOSURE
20,61,7,25,78,100,AI EXPOSURE
31,40,7,59,43,24,AI EXPOSURE
3,9,7,21,68,1,AI EXPOSURE
64,26,35,25,84,28,AI EXPOSURE
3,25,35,91,54,93,AI EXPOSURE
38,55,42,42,54,85,AI EXPOSURE
52,18,26,26,84,78,AI EXPOSURE
64,18,7,29,75,24,AI EXPOSURE
31,48.75,28,23,48,93,AI EXPOSURE
49,57,7,25,44,1,AI EXPOSURE
33,33,42,59,87,79,AI EXPOSURE
7,96,2,58,80,1,AI EXPOSURE
31,77,7,26,14,1,AI EXPOSURE
1,52,14,58,44,63,AI EXPOSURE
31,21,7,21,40,17,AI EXPOSURE
3,9,24,44,68,78,AI EXPOSURE
6,44,58,81,44,79,AI EXPOSURE
2,35,26,81,81,40,AI EXPOSURE
46,43,13,42,55,1,AI EXPOSURE
18,25,58,21,68,79,AI EXPOSURE
52,55,58,35,63,1,AI EXPOSURE
38,18,23,26,84,60,AI EXPOSURE
33,35,26,25,42,79,AI EXPOSURE
7,64,26,91,68,59,AI EXPOSURE
38,85,40,58,68,78,AI EXPOSURE
54,9,26,82,23,1,AI EXPOSURE
7,76,23,25,78,54,AI EXPOSURE
38,2,26,91,82,89,AI EXPOSURE
7,29,14,25,40,79,AI EXPOSURE
7,55,42,58,87,40,AI EXPOSURE
5,57,28,58,40,54,AI EXPOSURE
38,42,7,29,43,1,AI EXPOSURE
7,59,35,82,26,1,AI EXPOSURE
3,25,35,58,67,60,AI EXPOSURE
20,59,45,81,68,79,AI EXPOSURE
7,61,40,25,28,28,AI EXPOSURE
5,25,2,44,68,79,AI EXPOSURE
3,25,28,42,81,79,AI EXPOSURE
7,64,23,59,48,79,AI EXPOSURE
21,23,35,44,68,79,AI EXPOSURE
1,94,7,21,55,60,AI EXPOSURE
92,25,45,58,43,1,AI EXPOSURE
3,76,7,21,84,59,AI EXPOSURE
48,29,45,91,78,1,AI EXPOSURE
21,96,2,91,82,78,AI EXPOSURE
20,29,7,58,40,17,AI EXPOSURE
49,25,58,82,68,78,AI EXPOSURE
7,18,45,26,67,1,AI EXPOSURE
38,80,35,25,55,55,AI EXPOSURE
38,55,35,25,80,78,AI EXPOSURE
38,26,21,59,40,1,AI EXPOSURE
46,60,9,21,68,79,AI EXPOSURE
21,28,14,44,68,1,AI EXPOSURE
1,16,28,42,87,24,AI EXPOSURE
48,42,35,59,44,63,AI EXPOSURE
21,59,26,25,68,84,AI EXPOSURE
48,18,35,21,48,93,AI EXPOSURE
3,30,58,91,81,79,AI EXPOSURE
92,42,14,44,78,40,AI EXPOSURE
49,48.75,14,58,7,60,AI EXPOSURE
38,42,52,91,40,93,AI EXPOSURE
38,35,35,91,78,1,AI EXPOSURE
52,9,14,23,78,85,AI EXPOSURE
31,18,14,58,80,79,AI EXPOSURE
38,81,14,23,67,1,AI EXPOSURE
49,48.75,7,81,40,79,AI EXPOSURE
7,83,58,25,23,1,AI EXPOSURE
2,48.75,14,91,28,79,AI EXPOSURE
21,16,45,81,54,82,AI EXPOSURE
53,16,43,91,68,59,AI EXPOSURE
7,26,7,26,68,78,AI EXPOSURE
21,87,58,91,54,79,AI EXPOSURE
82,48.75,35,25,54,60,AI EXPOSURE
7,85,54,44,55,40,AI EXPOSURE
7,59,26,42,90,78,AI EXPOSURE
21,57,91,25,68,63,AI EXPOSURE
7,77,42,25,68,1,AI EXPOSURE
7,9,26,44,44,54,AI EXPOSURE
7,48.75,23,42,67,40,AI EXPOSURE
31,9,26,25,81,60,AI EXPOSURE
48,9,35,81,68,79,AI EXPOSURE
38,55,35,44,23,82,AI EXPOSURE
76,38,33,65,9,9,ROBOT EXPOSURE
75,26,33,60,26,16,ROBOT EXPOSURE
73,18,35,55,10,9,ROBOT EXPOSURE
77,43,36,10,10,22,ROBOT EXPOSURE
98,41,52,52,25,3,ROBOT EXPOSURE
76,9,85,67,16,43,ROBOT EXPOSURE
62,4,85,60,26,3,ROBOT EXPOSURE
69,41,33,3,12,3,ROBOT EXPOSURE
100,1,57,57,19,17,ROBOT EXPOSURE
93,72,85,3,10,43,ROBOT EXPOSURE
73,54,52,67,30.333334,9,ROBOT EXPOSURE
69,34,57,61,22,16,ROBOT EXPOSURE
23,67,33,34,14,13,ROBOT EXPOSURE
23,41,85,60,50,3,ROBOT EXPOSURE
23,47,52,51,18,16,ROBOT EXPOSURE
94,9,33,3,26,13,ROBOT EXPOSURE
23,89,85,57,22,3,ROBOT EXPOSURE
97,34,57,51,22,3,ROBOT EXPOSURE
69,52,1,64,12,16,ROBOT EXPOSURE
23,84,35,55,26,3,ROBOT EXPOSURE
47,10,55,33,26,16,ROBOT EXPOSURE
69,54,85,51,10,13,ROBOT EXPOSURE
23,9,59,52,22,13,ROBOT EXPOSURE
69,88,33,34,10,16,ROBOT EXPOSURE
80,26,55,51,14,16,ROBOT EXPOSURE
76,72,35,34,26,16,ROBOT EXPOSURE
84,41,61,51,35,3,ROBOT EXPOSURE
98,72,33,52,14,62,ROBOT EXPOSURE
80,41,51,51,8,25,ROBOT EXPOSURE
93,43,35,34,7,22,ROBOT EXPOSURE
76,43,59,3,7,11,ROBOT EXPOSURE
73,96,69,34,13,13,ROBOT EXPOSURE
23,25,52,51,26,17,ROBOT EXPOSURE
47,84,38,51,19,17,ROBOT EXPOSURE
23,57,35,65,10,16,ROBOT EXPOSURE
94,43,57,57,22,11,ROBOT EXPOSURE
62,41,57,67,26,62,ROBOT EXPOSURE
76,10,55,51,25,3,ROBOT EXPOSURE
23,41,85,60,6,16,ROBOT EXPOSURE
76,91.75,67,10,14,3,ROBOT EXPOSURE
62,1,33,65,9,9,ROBOT EXPOSURE
47,85,52,60,9,16,ROBOT EXPOSURE
47,16,59,10,26,3,ROBOT EXPOSURE
62,62,85,3,19,13,ROBOT EXPOSURE
75,55,55,51,26,3,ROBOT EXPOSURE
97,69,61,60,7,34,ROBOT EXPOSURE
62,53,85,60,22,3,ROBOT EXPOSURE
76,3,61,51,26,3,ROBOT EXPOSURE
96,37,57,60,26,16,ROBOT EXPOSURE
98,43,85,57,26,9,ROBOT EXPOSURE
92,57,55,64,4,17,ROBOT EXPOSURE
62,25,77,64,26,16,ROBOT EXPOSURE
94,64,57,60,26,3,ROBOT EXPOSURE
98,84,25,6,6,16,ROBOT EXPOSURE
93,10,35,34,26,16,ROBOT EXPOSURE
94,91.75,33,51,25,62,ROBOT EXPOSURE
69,4,52,65,35,3,ROBOT EXPOSURE
97,20,67,34,16,16,ROBOT EXPOSURE
94,82,35,51,34,11,ROBOT EXPOSURE
69,2,35,34,26,9,ROBOT EXPOSURE
98,41,33,60,25,3,ROBOT EXPOSURE
97,75,77,67,9,16,ROBOT EXPOSURE
69,85,77,51,26,25,ROBOT EXPOSURE
69,91.75,35,34,18,59,ROBOT EXPOSURE
73,88,38,65,4,22,ROBOT EXPOSURE
76,18,35,51,17,26,ROBOT EXPOSURE
94,20,35,51,7,35,ROBOT EXPOSURE
73,89,35,60,30.333334,16,ROBOT EXPOSURE
23,6,61,3,16,3,ROBOT EXPOSURE
47,82,85,6,47,16,ROBOT EXPOSURE
62,43,55,51,16,9,ROBOT EXPOSURE
76,1,69,3,22,11,ROBOT EXPOSURE
47,79,33,65,7,13,ROBOT EXPOSURE
97,72,57,57,7,3,ROBOT EXPOSURE
97,10,55,77,25,16,ROBOT EXPOSURE
76,92,33,65,68,35,ROBOT EXPOSURE
76,84,85,57,14,16,ROBOT EXPOSURE
88,93,55,51,4,11,ROBOT EXPOSURE
73,41,4,51,7,34,ROBOT EXPOSURE
84,79,35,51,26,3,ROBOT EXPOSURE
69,37,4,65,19,49,ROBOT EXPOSURE
23,4,76,51,22,13,ROBOT EXPOSURE
23,43,61,3,22,13,ROBOT EXPOSURE
98,10,85,34,22,13,ROBOT EXPOSURE
76,10,55,55,26,9,ROBOT EXPOSURE
97,9,33,34,25,16,ROBOT EXPOSURE
23,19,35,51,14,41,ROBOT EXPOSURE
62,4,85,60,37,16,ROBOT EXPOSURE
69,23,76,51,50,59,ROBOT EXPOSURE
100,96,52,51,26,16,ROBOT EXPOSURE
76,43,85,51,14,3,ROBOT EXPOSURE
98,4,61,55,22,13,ROBOT EXPOSURE
23,53,35,57,26,3,ROBOT EXPOSURE
76,92,68,60,13,62,ROBOT EXPOSURE
75,91.75,55,34,22,59,ROBOT EXPOSURE
98,91.75,61,51,17,16,ROBOT EXPOSURE
69,82,69,3,6,3,ROBOT EXPOSURE
69,10,36,3,26,13,ROBOT EXPOSURE
76,83,85,67,30.333334,49,ROBOT EXPOSURE
54,69,55,77,26,43,ROBOT EXPOSURE
80,79,62,16,24,62,SOFTWARE EXPOSURE
65,61,25,30,27,37,SOFTWARE EXPOSURE
65,87,75,62,50,92,SOFTWARE EXPOSURE
93,47,7,49,91,8,SOFTWARE EXPOSURE
2,47,25,62,37,66,SOFTWARE EXPOSURE
15,47,100,16,27,17,SOFTWARE EXPOSURE
100,90,75,30,50,37,SOFTWARE EXPOSURE
9,91,62,30,37,1,SOFTWARE EXPOSURE
6,63,39,30,50,17,SOFTWARE EXPOSURE
15,64,69,87,74,1,SOFTWARE EXPOSURE
65,38,75,30,43,24,SOFTWARE EXPOSURE
65,39,75,30,57,84,SOFTWARE EXPOSURE
42,8,75,16,33,37,SOFTWARE EXPOSURE
68,74,44,100,50,1,SOFTWARE EXPOSURE
65,38,21,30,13,8,SOFTWARE EXPOSURE
7,96,39,30,37,1,SOFTWARE EXPOSURE
80,38,44,92,19,1,SOFTWARE EXPOSURE
59,30,30,87,13,40,SOFTWARE EXPOSURE
7,7,7,92,57,24,SOFTWARE EXPOSURE
65,2,2,92,19,40,SOFTWARE EXPOSURE
68,60,25,30,10,59,SOFTWARE EXPOSURE
7,90,69,87,37,1,SOFTWARE EXPOSURE
7,59,25,39,43,17,SOFTWARE EXPOSURE
7,27,62,87,49,64,SOFTWARE EXPOSURE
9,47,47,91,50,64,SOFTWARE EXPOSURE
85,68,15,92,50,43,SOFTWARE EXPOSURE
65,37,24,87,18,43,SOFTWARE EXPOSURE
7,11,47,2,18,59,SOFTWARE EXPOSURE
7,7,47,92,50,40,SOFTWARE EXPOSURE
68,41,44,92,37,20,SOFTWARE EXPOSURE
7,47,7,30,20,59,SOFTWARE EXPOSURE
65,41,59,49,10,37,SOFTWARE EXPOSURE
7,44,75,49,28,40,SOFTWARE EXPOSURE
42,17,15,30,74,24,SOFTWARE EXPOSURE
7,72,45,87,59,1,SOFTWARE EXPOSURE
85,49,15,91,50,26,SOFTWARE EXPOSURE
85,85,25,16,10,40,SOFTWARE EXPOSURE
85,91,45,30,50,17,SOFTWARE EXPOSURE
65,47,44,39,30,1,SOFTWARE EXPOSURE
97,84,69,49,50,92,SOFTWARE EXPOSURE
2,8,45,92,43,26,SOFTWARE EXPOSURE
85,13,25,49,43,1,SOFTWARE EXPOSURE
2,38,15,39,20,20,SOFTWARE EXPOSURE
13,80.75,39,62,59,84,SOFTWARE EXPOSURE
80,84,45,92,50,24,SOFTWARE EXPOSURE
2,47,30,62,19,1,SOFTWARE EXPOSURE
7,7,44,92,50,1,SOFTWARE EXPOSURE
85,8,7,91,13,72,SOFTWARE EXPOSURE
97,94,24,30,43,59,SOFTWARE EXPOSURE
7,67,39,91,50,72,SOFTWARE EXPOSURE
97,63,7,30,37,59,SOFTWARE EXPOSURE
93,13,39,30,50,40,SOFTWARE EXPOSURE
2,85,25,26,59,62,SOFTWARE EXPOSURE
85,28,24,80,24,1,SOFTWARE EXPOSURE
2,33,75,30,22,1,SOFTWARE EXPOSURE
80,50,7,30,17,24,SOFTWARE EXPOSURE
2,91,30,49,37,20,SOFTWARE EXPOSURE
2,38,75,16,45,17,SOFTWARE EXPOSURE
16,93,15,62,43,24,SOFTWARE EXPOSURE
16,94,100,91,50,1,SOFTWARE EXPOSURE
85,28,7,16,50,20,SOFTWARE EXPOSURE
7,17,45,16,62,1,SOFTWARE EXPOSURE
80,33,62,30,50,1,SOFTWARE EXPOSURE
2,67,45,2,24,84,SOFTWARE EXPOSURE
80,17,30,16,24,26,SOFTWARE EXPOSURE
85,60,30,92,37,20,SOFTWARE EXPOSURE
2,14,24,59,13,1,SOFTWARE EXPOSURE
68,78,39,39,50,30,SOFTWARE EXPOSURE
39,84,15,87,17,17,SOFTWARE EXPOSURE
16,33,32,30,50,43,SOFTWARE EXPOSURE
42,15,62,16,50.285713,17,SOFTWARE EXPOSURE
84,71,17,92,37,20,SOFTWARE EXPOSURE
7,80.75,45,39,24,30,SOFTWARE EXPOSURE
7,60,30,80,21,43,SOFTWARE EXPOSURE
16,38,45,30,24,1,SOFTWARE EXPOSURE
7,28,62,92,15,40,SOFTWARE EXPOSURE
80,41,1,62,50,1,SOFTWARE EXPOSURE
96,80.75,69,30,43,59,SOFTWARE EXPOSURE
80,17,69,87,43,17,SOFTWARE EXPOSURE
80,80.75,7,30,20,17,SOFTWARE EXPOSURE
65,72,7,62,50,40,SOFTWARE EXPOSURE
9,75,44,16,43,37,SOFTWARE EXPOSURE
37,79,75,16,20,72,SOFTWARE EXPOSURE
7,47,71,92,20,40,SOFTWARE EXPOSURE
7,72,7,26,66,40,SOFTWARE EXPOSURE
2,38,25,92,64,72,SOFTWARE EXPOSURE
9,38,30,92,24,8,SOFTWARE EXPOSURE
42,28,47,91,50,1,SOFTWARE EXPOSURE
65,8,75,69,43,17,SOFTWARE EXPOSURE
49,33,25,16,1,40,SOFTWARE EXPOSURE
16,56,39,16,24,40,SOFTWARE EXPOSURE
2,75,25,92,50,37,SOFTWARE EXPOSURE
2,8,24,92,13,1,SOFTWARE EXPOSURE
42,88,15,2,28,92,SOFTWARE EXPOSURE
65,28,24,62,50,30,SOFTWARE EXPOSURE
80,90,39,16,17,1,SOFTWARE EXPOSURE
97,56,66,87,11,17,SOFTWARE EXPOSURE
2,71,75,16,7,40,SOFTWARE EXPOSURE
9,91,15,30,24,62,SOFTWARE EXPOSURE
70,37,39,92,21,1,SOFTWARE EXPOSURE